Stage,Time
wake,00:02:30
light,00:13:00
deep,02:20:30
light,02:59:00
rem,03:32:30
light,03:48:30
wake,04:15:00
light,04:19:00
rem,04:50:30
light,05:12:30
wake,06:12:30
