Stage,Time
wake,2018-04-23 20:35:30
light,2018-04-23 20:36:00
deep,2018-04-23 22:24:30
light,2018-04-23 22:29:00
deep,2018-04-23 22:41:00
light,2018-04-23 22:46:30
wake,2018-04-23 23:28:30
light,2018-04-23 23:38:00
wake,2018-04-23 23:56:00
light,2018-04-24 00:12:00
wake,2018-04-24 01:39:00
light,2018-04-24 02:00:30
deep,2018-04-24 02:27:00
light,2018-04-24 02:32:30
wake,2018-04-24 03:01:00
light,2018-04-24 03:11:00
wake,2018-04-24 03:14:00
light,2018-04-24 03:29:00
deep,2018-04-24 03:39:00
light,2018-04-24 03:43:30
deep,2018-04-24 03:52:00
wake,2018-04-24 04:20:00
rem,2018-04-24 04:36:30
wake,2018-04-24 04:41:30
light,2018-04-24 04:47:00
rem,2018-04-24 04:50:30
light,2018-04-24 04:55:30
rem,2018-04-24 05:16:30
light,2018-04-24 05:31:30
wake,2018-04-24 06:35:00
light,2018-04-24 06:39:30
rem,2018-04-24 07:14:00
light,2018-04-24 07:51:00
wake,2018-04-24 07:59:30
