Stage,Time
light,2018-05-04 22:47:30
rem,2018-05-05 00:59:00
light,2018-05-05 01:05:00
rem,2018-05-05 01:33:00
light,2018-05-05 01:38:00
deep,2018-05-05 02:03:30
light,2018-05-05 02:42:00
rem,2018-05-05 02:43:00
wake,2018-05-05 02:49:00
light,2018-05-05 03:04:00
wake,2018-05-05 03:13:30
light,2018-05-05 03:19:00
wake,2018-05-05 03:35:30
light,2018-05-05 03:46:00
wake,2018-05-05 03:58:00
light,2018-05-05 04:05:00
rem,2018-05-05 04:10:00
light,2018-05-05 04:18:30
rem,2018-05-05 05:27:00
light,2018-05-05 05:52:30
wake,2018-05-05 06:17:30
light,2018-05-05 06:21:30
deep,2018-05-05 06:24:00
