Stage,Time
light,2018-05-30 22:17:30
deep,2018-05-30 23:23:00
light,2018-05-30 23:44:30
rem,2018-05-30 23:45:00
light,2018-05-31 00:10:00
deep,2018-05-31 00:32:00
light,2018-05-31 00:36:30
rem,2018-05-31 01:01:00
wake,2018-05-31 01:05:30
light,2018-05-31 01:17:00
deep,2018-05-31 01:36:30
light,2018-05-31 01:52:00
rem,2018-05-31 02:00:00
wake,2018-05-31 02:17:30
light,2018-05-31 02:24:00
wake,2018-05-31 03:22:30
light,2018-05-31 03:47:00
rem,2018-05-31 03:48:00
light,2018-05-31 03:55:30
deep,2018-05-31 04:22:30
light,2018-05-31 04:30:00
rem,2018-05-31 04:41:30
light,2018-05-31 04:46:00
wake,2018-05-31 05:04:00
light,2018-05-31 05:27:00
deep,2018-05-31 05:36:00
light,2018-05-31 05:40:30
wake,2018-05-31 06:01:00
light,2018-05-31 06:06:00
rem,2018-05-31 06:25:30
light,2018-05-31 06:30:00
