Stage,Time
light,2018-04-26 20:44:00
wake,2018-04-26 21:21:00
light,2018-04-26 21:26:00
deep,2018-04-26 22:13:00
light,2018-04-26 22:19:00
deep,2018-04-26 22:35:00
light,2018-04-26 22:40:30
wake,2018-04-26 22:47:00
light,2018-04-26 22:51:30
deep,2018-04-26 23:13:30
light,2018-04-26 23:20:00
deep,2018-04-26 23:59:00
light,2018-04-27 00:04:30
wake,2018-04-27 00:36:30
light,2018-04-27 00:46:30
deep,2018-04-27 01:21:00
light,2018-04-27 01:26:00
rem,2018-04-27 01:47:30
light,2018-04-27 02:10:00
rem,2018-04-27 02:27:00
light,2018-04-27 02:32:00
deep,2018-04-27 03:04:30
light,2018-04-27 03:11:30
rem,2018-04-27 03:29:30
light,2018-04-27 04:13:00
rem,2018-04-27 05:23:00
wake,2018-04-27 05:30:00
light,2018-04-27 05:42:30
rem,2018-04-27 05:45:00
light,2018-04-27 05:53:00
wake,2018-04-27 05:59:30
light,2018-04-27 06:07:00
wake,2018-04-27 07:13:00
