Stage,Time
light,2018-05-20 22:12:00
rem,2018-05-20 23:02:30
light,2018-05-20 23:13:30
deep,2018-05-20 23:46:30
light,2018-05-21 00:00:30
deep,2018-05-21 00:53:30
light,2018-05-21 00:58:00
deep,2018-05-21 01:17:30
light,2018-05-21 01:58:30
rem,2018-05-21 01:59:00
light,2018-05-21 02:35:00
rem,2018-05-21 03:25:30
light,2018-05-21 03:39:00
wake,2018-05-21 04:13:30
light,2018-05-21 04:27:00
wake,2018-05-21 04:59:30
light,2018-05-21 05:06:30
rem,2018-05-21 05:21:30
light,2018-05-21 05:26:00
wake,2018-05-21 05:35:30
light,2018-05-21 05:41:00
rem,2018-05-21 05:45:00
light,2018-05-21 06:58:00
wake,2018-05-21 07:51:00
