Stage,Time
wake,2018-05-09 21:00:00
light,2018-05-09 21:00:30
deep,2018-05-09 21:15:30
light,2018-05-09 21:38:00
deep,2018-05-09 21:43:30
light,2018-05-09 21:59:30
rem,2018-05-09 22:32:00
light,2018-05-09 22:37:00
rem,2018-05-09 23:29:00
light,2018-05-10 00:02:00
deep,2018-05-10 00:28:00
light,2018-05-10 00:35:00
deep,2018-05-10 00:41:30
light,2018-05-10 00:48:00
rem,2018-05-10 01:15:00
light,2018-05-10 01:20:00
rem,2018-05-10 01:30:00
light,2018-05-10 02:08:30
wake,2018-05-10 03:22:00
light,2018-05-10 03:26:00
rem,2018-05-10 03:40:00
light,2018-05-10 03:50:00
deep,2018-05-10 04:34:00
light,2018-05-10 04:42:00
rem,2018-05-10 05:07:00
wake,2018-05-10 05:33:30
light,2018-05-10 05:42:00
wake,2018-05-10 05:48:30
