Stage,Time
wake,2018-05-17 21:35:30
light,2018-05-17 21:45:00
deep,2018-05-17 22:03:30
rem,2018-05-17 23:03:00
light,2018-05-17 23:15:30
deep,2018-05-17 23:23:30
light,2018-05-17 23:37:30
rem,2018-05-18 00:13:30
light,2018-05-18 00:23:00
rem,2018-05-18 01:21:30
light,2018-05-18 01:45:00
wake,2018-05-18 01:47:30
light,2018-05-18 02:03:00
wake,2018-05-18 02:53:00
light,2018-05-18 02:59:30
rem,2018-05-18 03:02:30
wake,2018-05-18 03:34:30
light,2018-05-18 03:39:30
rem,2018-05-18 04:37:00
light,2018-05-18 04:43:30
rem,2018-05-18 06:00:30
light,2018-05-18 06:31:00
wake,2018-05-18 07:15:00
light,2018-05-18 07:20:00
wake,2018-05-18 07:36:00
rem,2018-05-18 07:40:00
wake,2018-05-18 07:46:30
