Stage,Time
wake,2018-05-05 21:22:00
light,2018-05-05 21:23:00
deep,2018-05-05 21:51:30
light,2018-05-05 22:22:30
rem,2018-05-05 22:24:00
light,2018-05-05 22:32:00
wake,2018-05-05 23:29:00
light,2018-05-05 23:34:30
rem,2018-05-06 00:01:00
wake,2018-05-06 00:09:30
light,2018-05-06 00:19:00
deep,2018-05-06 00:43:00
light,2018-05-06 00:48:00
deep,2018-05-06 02:37:00
rem,2018-05-06 03:06:00
wake,2018-05-06 03:14:00
light,2018-05-06 03:22:00
rem,2018-05-06 04:07:30
wake,2018-05-06 04:39:00
light,2018-05-06 04:49:00
wake,2018-05-06 04:51:00
light,2018-05-06 05:13:00
rem,2018-05-06 05:31:00
light,2018-05-06 05:36:00
wake,2018-05-06 05:59:30
