Stage,Time
light,2018-05-28 19:34:00
deep,2018-05-28 19:51:30
light,2018-05-28 20:36:30
wake,2018-05-28 21:10:00
light,2018-05-28 21:17:00
deep,2018-05-28 21:25:30
light,2018-05-28 21:58:30
wake,2018-05-28 22:32:00
light,2018-05-28 22:39:00
deep,2018-05-28 22:55:00
light,2018-05-28 23:00:30
deep,2018-05-28 23:28:00
light,2018-05-28 23:32:30
rem,2018-05-28 23:51:00
light,2018-05-29 00:32:30
rem,2018-05-29 01:34:30
wake,2018-05-29 01:41:00
light,2018-05-29 01:46:00
rem,2018-05-29 02:10:30
wake,2018-05-29 02:29:30
rem,2018-05-29 02:39:00
light,2018-05-29 02:43:30
deep,2018-05-29 03:35:30
light,2018-05-29 03:55:30
rem,2018-05-29 04:06:00
wake,2018-05-29 04:18:00
light,2018-05-29 04:25:00
rem,2018-05-29 05:14:00
wake,2018-05-29 05:40:00
light,2018-05-29 05:50:00
rem,2018-05-29 06:21:00
wake,2018-05-29 06:29:30
