Stage,Time
wake,2018-04-25 20:40:30
light,2018-04-25 20:41:00
deep,2018-04-25 23:21:00
light,2018-04-25 23:51:00
rem,2018-04-26 00:34:00
wake,2018-04-26 00:39:30
light,2018-04-26 00:44:00
rem,2018-04-26 00:54:00
light,2018-04-26 00:59:00
wake,2018-04-26 01:43:00
light,2018-04-26 01:56:00
deep,2018-04-26 02:32:00
light,2018-04-26 02:37:00
rem,2018-04-26 02:48:00
deep,2018-04-26 03:17:00
light,2018-04-26 03:24:00
rem,2018-04-26 04:55:00
light,2018-04-26 05:00:30
wake,2018-04-26 05:02:30
light,2018-04-26 05:13:00
rem,2018-04-26 05:38:00
light,2018-04-26 05:43:00
wake,2018-04-26 05:51:00
