Stage,Time
restless,2018-04-16 21:13:30
asleep,2018-04-16 21:14:30
restless,2018-04-17 00:02:30
asleep,2018-04-17 00:03:30
restless,2018-04-17 00:08:30
asleep,2018-04-17 00:09:30
restless,2018-04-17 01:11:30
asleep,2018-04-17 01:12:30
restless,2018-04-17 01:43:30
asleep,2018-04-17 01:49:30
restless,2018-04-17 02:33:30
asleep,2018-04-17 02:34:30
restless,2018-04-17 03:18:30
asleep,2018-04-17 03:19:30
restless,2018-04-17 03:25:30
asleep,2018-04-17 03:26:30
restless,2018-04-17 04:03:30
asleep,2018-04-17 04:04:30
restless,2018-04-17 05:17:30
asleep,2018-04-17 05:18:30
restless,2018-04-17 05:50:30
awake,2018-04-17 05:54:30
restless,2018-04-17 05:56:30
asleep,2018-04-17 05:58:30
restless,2018-04-17 06:03:30
asleep,2018-04-17 06:04:30
restless,2018-04-17 06:14:30
asleep,2018-04-17 06:15:30
restless,2018-04-17 06:51:30
asleep,2018-04-17 06:54:30
restless,2018-04-17 06:55:30
asleep,2018-04-17 06:58:30
