Stage,Time
wake,2018-05-07 21:33:00
light,2018-05-07 21:38:00
deep,2018-05-07 22:12:30
light,2018-05-07 22:42:00
rem,2018-05-08 00:16:00
light,2018-05-08 00:27:30
deep,2018-05-08 00:42:00
light,2018-05-08 00:54:30
deep,2018-05-08 01:01:00
light,2018-05-08 01:19:00
rem,2018-05-08 01:32:30
wake,2018-05-08 01:46:30
light,2018-05-08 01:50:30
rem,2018-05-08 02:20:30
light,2018-05-08 02:50:30
wake,2018-05-08 03:05:00
rem,2018-05-08 03:18:00
wake,2018-05-08 03:34:30
light,2018-05-08 03:47:30
wake,2018-05-08 04:40:30
light,2018-05-08 04:47:30
rem,2018-05-08 05:07:00
light,2018-05-08 05:11:30
rem,2018-05-08 05:25:30
light,2018-05-08 05:30:30
rem,2018-05-08 05:49:00
wake,2018-05-08 05:54:30
light,2018-05-08 05:59:00
wake,2018-05-08 06:01:00
light,2018-05-08 06:18:00
wake,2018-05-08 07:00:00
light,2018-05-08 07:05:00
