Stage,Time
wake,2018-05-25 22:36:30
light,2018-05-25 22:37:00
deep,2018-05-25 23:41:30
light,2018-05-25 23:50:00
rem,2018-05-25 23:59:30
light,2018-05-26 00:06:00
deep,2018-05-26 00:49:30
light,2018-05-26 01:07:00
wake,2018-05-26 01:10:30
light,2018-05-26 01:14:00
wake,2018-05-26 01:27:00
light,2018-05-26 01:30:30
deep,2018-05-26 02:04:30
light,2018-05-26 02:20:30
rem,2018-05-26 02:27:30
wake,2018-05-26 02:43:30
light,2018-05-26 03:03:00
wake,2018-05-26 03:06:00
light,2018-05-26 03:09:30
wake,2018-05-26 03:11:30
light,2018-05-26 03:16:00
wake,2018-05-26 04:15:30
rem,2018-05-26 04:19:30
light,2018-05-26 04:59:30
wake,2018-05-26 06:12:30
light,2018-05-26 06:16:00
wake,2018-05-26 06:18:30
