Stage,Time
wake,2018-04-24 21:58:00
light,2018-04-24 22:05:00
deep,2018-04-25 00:26:00
light,2018-04-25 00:32:00
rem,2018-04-25 01:34:00
wake,2018-04-25 01:39:00
light,2018-04-25 01:52:00
deep,2018-04-25 02:23:00
wake,2018-04-25 02:59:30
light,2018-04-25 03:08:30
rem,2018-04-25 03:15:30
light,2018-04-25 03:24:00
rem,2018-04-25 04:40:30
light,2018-04-25 04:56:30
deep,2018-04-25 05:15:30
wake,2018-04-25 05:50:30
light,2018-04-25 06:05:00
wake,2018-04-25 06:15:00
light,2018-04-25 06:20:00
wake,2018-04-25 06:44:00
light,2018-04-25 07:17:00
wake,2018-04-25 08:08:00
