Stage,Time
wake,2018-05-26 21:02:00
light,2018-05-26 21:02:30
deep,2018-05-26 21:19:00
light,2018-05-26 22:07:30
deep,2018-05-26 22:31:30
light,2018-05-26 22:38:00
deep,2018-05-26 22:55:30
light,2018-05-26 23:00:30
rem,2018-05-26 23:30:30
wake,2018-05-26 23:45:00
light,2018-05-26 23:57:00
deep,2018-05-27 00:32:00
light,2018-05-27 00:40:30
deep,2018-05-27 00:59:30
light,2018-05-27 01:07:00
wake,2018-05-27 01:09:00
light,2018-05-27 01:16:00
rem,2018-05-27 02:36:30
light,2018-05-27 03:02:00
rem,2018-05-27 04:39:00
wake,2018-05-27 04:46:00
light,2018-05-27 04:51:30
rem,2018-05-27 06:33:00
light,2018-05-27 06:40:30
wake,2018-05-27 06:45:30
