Stage,Time
wake,21:21:30
light,21:28:30
rem,22:28:00
light,22:37:00
rem,23:38:00
light,23:46:00
deep,00:11:00
wake,00:39:00
light,00:46:00
rem,00:53:30
wake,00:59:00
light,01:06:00
rem,01:21:30
light,01:42:30
rem,01:49:30
light,02:08:30
deep,02:24:30
light,03:08:30
wake,03:29:00
light,03:34:00
rem,05:00:30
light,05:05:00
rem,05:15:30
wake,05:22:00
light,05:29:00
wake,05:36:00
light,06:02:30
wake,06:21:00
