Stage,Time
wake,2018-04-22 23:19:30
light,2018-04-22 23:20:00
wake,2018-04-22 23:31:30
light,2018-04-22 23:37:00
deep,2018-04-23 00:01:00
light,2018-04-23 00:06:30
rem,2018-04-23 00:37:00
light,2018-04-23 00:53:30
deep,2018-04-23 01:04:30
light,2018-04-23 02:03:00
rem,2018-04-23 02:08:00
wake,2018-04-23 02:16:30
light,2018-04-23 02:23:30
rem,2018-04-23 03:05:30
light,2018-04-23 03:50:00
deep,2018-04-23 04:23:30
light,2018-04-23 04:47:00
wake,2018-04-23 04:54:00
light,2018-04-23 05:10:00
wake,2018-04-23 05:21:00
light,2018-04-23 05:31:00
rem,2018-04-23 05:45:00
light,2018-04-23 06:25:30
wake,2018-04-23 06:42:30
light,2018-04-23 06:56:00
wake,2018-04-23 06:59:00
light,2018-04-23 07:05:30
wake,2018-04-23 07:07:30
