Stage,Time
light,2018-05-03 21:13:00
rem,2018-05-03 22:43:30
light,2018-05-03 23:02:00
deep,2018-05-03 23:27:00
wake,2018-05-03 23:56:30
light,2018-05-04 00:01:00
wake,2018-05-04 00:08:00
rem,2018-05-04 00:13:30
wake,2018-05-04 00:18:00
light,2018-05-04 00:33:00
deep,2018-05-04 00:44:00
light,2018-05-04 01:08:00
rem,2018-05-04 01:28:30
light,2018-05-04 01:48:00
rem,2018-05-04 01:53:30
light,2018-05-04 02:37:00
wake,2018-05-04 04:04:00
light,2018-05-04 04:11:00
wake,2018-05-04 04:14:00
light,2018-05-04 04:17:30
rem,2018-05-04 04:24:30
light,2018-05-04 04:31:00
rem,2018-05-04 05:37:00
light,2018-05-04 05:52:00
wake,2018-05-04 07:00:00
