Stage,Time
wake,2018-05-18 21:28:30
light,2018-05-18 21:29:00
deep,2018-05-18 22:03:00
light,2018-05-18 22:55:00
wake,2018-05-18 23:00:30
light,2018-05-18 23:10:00
deep,2018-05-18 23:53:30
light,2018-05-19 00:02:00
rem,2018-05-19 00:22:30
wake,2018-05-19 00:42:00
light,2018-05-19 00:49:00
rem,2018-05-19 02:09:00
wake,2018-05-19 02:17:00
light,2018-05-19 02:24:00
wake,2018-05-19 03:09:00
light,2018-05-19 03:15:30
wake,2018-05-19 03:18:00
rem,2018-05-19 03:25:00
light,2018-05-19 03:33:00
wake,2018-05-19 03:46:00
light,2018-05-19 03:54:00
wake,2018-05-19 04:12:30
light,2018-05-19 04:18:00
wake,2018-05-19 05:12:00
light,2018-05-19 05:30:30
wake,2018-05-19 05:37:30
light,2018-05-19 05:41:00
rem,2018-05-19 05:41:30
wake,2018-05-19 05:46:00
light,2018-05-19 05:53:00
wake,2018-05-19 06:19:30
