Stage,Time
wake,2018-05-31 21:10:00
light,2018-05-31 21:10:30
deep,2018-05-31 21:29:30
wake,2018-05-31 21:34:30
light,2018-05-31 21:38:00
wake,2018-05-31 21:47:00
light,2018-05-31 21:52:00
wake,2018-05-31 23:11:00
light,2018-05-31 23:23:00
deep,2018-05-31 23:38:30
light,2018-05-31 23:47:00
deep,2018-05-31 23:53:30
light,2018-06-01 00:17:30
rem,2018-06-01 00:27:00
light,2018-06-01 00:38:00
deep,2018-06-01 00:57:30
light,2018-06-01 01:33:00
rem,2018-06-01 02:08:00
wake,2018-06-01 02:26:30
light,2018-06-01 02:45:00
deep,2018-06-01 03:02:00
light,2018-06-01 03:09:30
wake,2018-06-01 03:11:00
light,2018-06-01 03:14:30
rem,2018-06-01 03:47:00
light,2018-06-01 03:51:30
rem,2018-06-01 04:18:00
wake,2018-06-01 04:23:30
rem,2018-06-01 04:41:00
wake,2018-06-01 05:13:00
light,2018-06-01 05:17:00
rem,2018-06-01 06:11:30
light,2018-06-01 06:28:30
rem,2018-06-01 07:41:00
wake,2018-06-01 08:01:30
