Stage,Time
asleep,2018-05-24 20:47:00
restless,2018-05-24 21:49:00
asleep,2018-05-24 21:50:00
restless,2018-05-24 22:52:00
asleep,2018-05-24 22:54:00
restless,2018-05-24 22:55:00
asleep,2018-05-24 22:58:00
restless,2018-05-24 23:21:00
asleep,2018-05-24 23:23:00
restless,2018-05-24 23:25:00
asleep,2018-05-24 23:27:00
restless,2018-05-25 00:05:00
asleep,2018-05-25 00:06:00
restless,2018-05-25 01:04:00
asleep,2018-05-25 01:05:00
restless,2018-05-25 01:22:00
asleep,2018-05-25 01:23:00
restless,2018-05-25 02:26:00
asleep,2018-05-25 02:27:00
restless,2018-05-25 03:16:00
asleep,2018-05-25 03:17:00
restless,2018-05-25 03:31:00
asleep,2018-05-25 03:32:00
restless,2018-05-25 03:37:00
asleep,2018-05-25 03:38:00
restless,2018-05-25 04:05:00
asleep,2018-05-25 04:06:00
restless,2018-05-25 04:12:00
asleep,2018-05-25 04:13:00
restless,2018-05-25 04:30:00
asleep,2018-05-25 04:33:00
restless,2018-05-25 04:34:00
asleep,2018-05-25 04:37:00
restless,2018-05-25 05:48:00
asleep,2018-05-25 05:50:00
restless,2018-05-25 06:29:00
awake,2018-05-25 06:31:00
asleep,2018-05-25 06:32:00
restless,2018-05-25 06:48:00
asleep,2018-05-25 06:49:00
