Stage,Time
wake,20:40:30
light,20:41:00
deep,23:21:00
light,23:51:00
rem,00:34:00
wake,00:39:30
light,00:44:00
rem,00:54:00
light,00:59:00
wake,01:43:00
light,01:56:00
deep,02:32:00
light,02:37:00
rem,02:48:00
deep,03:17:00
light,03:24:00
rem,04:55:00
light,05:00:30
wake,05:02:30
light,05:13:00
rem,05:38:00
light,05:43:00
wake,05:51:00
