Stage,Time
asleep,2018-04-29 22:30:30
restless,2018-04-30 00:11:30
asleep,2018-04-30 00:12:30
restless,2018-04-30 00:25:30
asleep,2018-04-30 00:27:30
restless,2018-04-30 00:29:30
asleep,2018-04-30 00:31:30
restless,2018-04-30 01:34:30
awake,2018-04-30 01:36:30
asleep,2018-04-30 01:37:30
restless,2018-04-30 02:42:30
asleep,2018-04-30 02:43:30
restless,2018-04-30 02:55:30
asleep,2018-04-30 02:56:30
restless,2018-04-30 02:57:30
asleep,2018-04-30 02:59:30
restless,2018-04-30 03:53:30
asleep,2018-04-30 03:54:30
restless,2018-04-30 05:16:30
awake,2018-04-30 05:20:30
restless,2018-04-30 05:26:30
asleep,2018-04-30 05:27:30
restless,2018-04-30 06:01:30
asleep,2018-04-30 06:02:30
restless,2018-04-30 06:03:30
asleep,2018-04-30 06:04:30
restless,2018-04-30 06:32:30
asleep,2018-04-30 06:33:30
restless,2018-04-30 06:44:30
asleep,2018-04-30 06:45:30
restless,2018-04-30 06:54:30
asleep,2018-04-30 06:55:30
restless,2018-04-30 07:00:30
asleep,2018-04-30 07:10:30
restless,2018-04-30 07:12:30
asleep,2018-04-30 07:13:30
restless,2018-04-30 08:00:30
asleep,2018-04-30 08:01:30
