Stage,Time
wake,2018-06-06 21:48:00
light,2018-06-06 21:49:00
deep,2018-06-06 22:43:00
light,2018-06-06 22:50:00
deep,2018-06-06 23:38:30
light,2018-06-06 23:45:30
rem,2018-06-07 00:03:00
light,2018-06-07 00:27:00
deep,2018-06-07 00:45:00
light,2018-06-07 01:13:30
rem,2018-06-07 01:27:00
light,2018-06-07 01:31:30
rem,2018-06-07 01:45:30
light,2018-06-07 02:05:30
wake,2018-06-07 03:24:30
light,2018-06-07 03:44:00
wake,2018-06-07 04:00:00
light,2018-06-07 04:06:00
wake,2018-06-07 04:26:00
light,2018-06-07 04:30:00
wake,2018-06-07 04:57:30
light,2018-06-07 05:07:00
rem,2018-06-07 05:10:30
light,2018-06-07 05:29:30
wake,2018-06-07 06:30:00
light,2018-06-07 06:44:00
rem,2018-06-07 08:34:00
light,2018-06-07 08:45:00
wake,2018-06-07 08:47:00
light,2018-06-07 08:52:30
