Stage,Time
wake,2018-05-12 20:27:30
light,2018-05-12 20:28:00
rem,2018-05-12 21:20:00
light,2018-05-12 21:35:30
deep,2018-05-12 22:21:00
light,2018-05-12 22:37:30
rem,2018-05-12 22:41:00
light,2018-05-12 23:00:00
rem,2018-05-12 23:23:00
light,2018-05-12 23:36:30
rem,2018-05-12 23:42:00
light,2018-05-13 00:08:00
wake,2018-05-13 00:14:30
light,2018-05-13 00:18:00
wake,2018-05-13 01:09:30
light,2018-05-13 01:31:30
rem,2018-05-13 02:32:00
wake,2018-05-13 02:55:00
light,2018-05-13 03:06:00
deep,2018-05-13 03:17:00
light,2018-05-13 04:06:00
rem,2018-05-13 06:01:00
light,2018-05-13 06:07:30
rem,2018-05-13 06:16:30
light,2018-05-13 06:33:30
