Stage,Time
asleep,2018-06-02 20:46:00
restless,2018-06-02 20:48:00
awake,2018-06-02 20:52:00
restless,2018-06-02 20:53:00
awake,2018-06-02 20:59:00
asleep,2018-06-02 21:00:00
restless,2018-06-02 21:17:00
asleep,2018-06-02 21:18:00
restless,2018-06-02 21:19:00
asleep,2018-06-02 21:20:00
restless,2018-06-02 21:31:00
asleep,2018-06-02 21:34:00
restless,2018-06-02 21:35:00
asleep,2018-06-02 21:37:00
restless,2018-06-02 23:18:00
asleep,2018-06-02 23:19:00
restless,2018-06-03 01:20:00
asleep,2018-06-03 01:22:00
restless,2018-06-03 01:23:00
asleep,2018-06-03 01:26:00
restless,2018-06-03 01:36:00
asleep,2018-06-03 01:39:00
restless,2018-06-03 01:42:00
asleep,2018-06-03 01:43:00
restless,2018-06-03 02:51:00
asleep,2018-06-03 02:52:00
restless,2018-06-03 03:15:00
asleep,2018-06-03 03:16:00
restless,2018-06-03 04:05:00
asleep,2018-06-03 04:06:00
restless,2018-06-03 04:26:00
asleep,2018-06-03 04:29:00
restless,2018-06-03 04:32:00
asleep,2018-06-03 04:33:00
restless,2018-06-03 04:38:00
asleep,2018-06-03 04:40:00
restless,2018-06-03 04:42:00
asleep,2018-06-03 04:44:00
restless,2018-06-03 04:46:00
asleep,2018-06-03 04:47:00
restless,2018-06-03 05:14:00
asleep,2018-06-03 05:15:00
restless,2018-06-03 06:14:00
asleep,2018-06-03 06:15:00
restless,2018-06-03 06:44:00
asleep,2018-06-03 06:45:00
