Stage,Time
wake,2018-04-13 23:47:00
light,2018-04-13 23:48:00
deep,2018-04-14 00:21:30
light,2018-04-14 00:42:30
rem,2018-04-14 00:47:00
light,2018-04-14 01:06:30
deep,2018-04-14 01:39:30
light,2018-04-14 01:47:30
rem,2018-04-14 02:29:30
wake,2018-04-14 02:36:00
light,2018-04-14 02:42:00
deep,2018-04-14 03:20:00
light,2018-04-14 03:41:30
rem,2018-04-14 03:46:00
light,2018-04-14 03:58:00
rem,2018-04-14 04:07:00
light,2018-04-14 04:13:30
wake,2018-04-14 04:16:00
light,2018-04-14 04:28:00
rem,2018-04-14 05:18:00
light,2018-04-14 05:46:30
wake,2018-04-14 06:01:30
light,2018-04-14 06:06:00
wake,2018-04-14 06:17:00
