Stage,Time
wake,2018-05-27 22:15:30
deep,2018-05-27 22:30:30
light,2018-05-27 22:40:00
wake,2018-05-27 22:42:30
light,2018-05-27 23:23:30
deep,2018-05-27 23:31:30
light,2018-05-28 00:15:00
deep,2018-05-28 00:53:30
light,2018-05-28 01:08:30
rem,2018-05-28 01:58:30
light,2018-05-28 02:03:00
rem,2018-05-28 03:28:30
wake,2018-05-28 03:47:00
light,2018-05-28 03:56:00
rem,2018-05-28 05:04:00
light,2018-05-28 05:38:30
rem,2018-05-28 06:05:30
light,2018-05-28 06:11:00
wake,2018-05-28 07:02:30
light,2018-05-28 07:07:00
wake,2018-05-28 07:46:30
light,2018-05-28 08:05:00
rem,2018-05-28 09:01:00
light,2018-05-28 09:07:00
rem,2018-05-28 09:16:00
light,2018-05-28 09:36:00
rem,2018-05-28 10:33:30
light,2018-05-28 10:38:30
