Stage,Time
wake,2018-06-07 23:47:30
light,2018-06-07 23:54:00
deep,2018-06-08 00:32:00
rem,2018-06-08 00:38:30
light,2018-06-08 01:02:00
rem,2018-06-08 02:12:00
light,2018-06-08 02:20:00
rem,2018-06-08 02:34:00
light,2018-06-08 02:58:30
deep,2018-06-08 03:11:00
light,2018-06-08 03:16:00
rem,2018-06-08 03:28:00
light,2018-06-08 03:49:30
wake,2018-06-08 04:30:00
light,2018-06-08 04:37:00
wake,2018-06-08 05:18:00
light,2018-06-08 05:23:30
wake,2018-06-08 06:03:30
light,2018-06-08 06:07:00
wake,2018-06-08 06:23:30
light,2018-06-08 06:38:00
wake,2018-06-08 07:02:30
light,2018-06-08 07:07:30
wake,2018-06-08 07:59:00
