Stage,Time
light,2018-04-14 23:25:00
deep,2018-04-15 00:11:00
light,2018-04-15 00:33:00
deep,2018-04-15 00:36:30
light,2018-04-15 01:03:00
deep,2018-04-15 01:10:30
light,2018-04-15 01:19:00
rem,2018-04-15 02:03:00
light,2018-04-15 02:08:00
rem,2018-04-15 02:19:00
light,2018-04-15 02:32:30
rem,2018-04-15 02:44:00
light,2018-04-15 02:49:00
wake,2018-04-15 03:58:30
light,2018-04-15 04:05:00
rem,2018-04-15 04:54:30
wake,2018-04-15 05:00:00
light,2018-04-15 05:14:00
wake,2018-04-15 05:58:00
light,2018-04-15 06:03:00
rem,2018-04-15 06:04:00
wake,2018-04-15 06:39:30
