Stage,Time
wake,2018-05-14 21:41:30
light,2018-05-14 21:42:30
deep,2018-05-14 22:07:30
light,2018-05-14 22:12:00
rem,2018-05-14 22:44:30
light,2018-05-14 23:07:00
deep,2018-05-14 23:20:00
rem,2018-05-15 00:00:30
light,2018-05-15 00:28:00
deep,2018-05-15 00:48:30
light,2018-05-15 01:09:30
rem,2018-05-15 01:31:30
light,2018-05-15 01:36:00
wake,2018-05-15 01:47:00
light,2018-05-15 01:51:00
rem,2018-05-15 01:55:00
light,2018-05-15 02:25:00
deep,2018-05-15 02:55:30
wake,2018-05-15 03:17:00
light,2018-05-15 03:32:00
deep,2018-05-15 03:55:00
light,2018-05-15 04:07:00
rem,2018-05-15 04:12:00
light,2018-05-15 04:38:00
rem,2018-05-15 04:45:30
light,2018-05-15 05:09:30
rem,2018-05-15 05:59:00
light,2018-05-15 06:34:30
wake,2018-05-15 06:50:00
light,2018-05-15 06:54:00
