Stage,Time
light,2018-06-05 21:49:30
rem,2018-06-05 23:04:00
light,2018-06-05 23:20:00
deep,2018-06-05 23:40:00
light,2018-06-06 00:24:00
rem,2018-06-06 00:32:00
light,2018-06-06 00:56:00
deep,2018-06-06 01:21:30
wake,2018-06-06 01:41:30
light,2018-06-06 01:49:00
wake,2018-06-06 02:20:00
light,2018-06-06 02:25:00
wake,2018-06-06 02:28:30
light,2018-06-06 02:35:30
deep,2018-06-06 02:59:30
light,2018-06-06 03:05:00
deep,2018-06-06 03:38:30
light,2018-06-06 03:44:00
wake,2018-06-06 03:55:00
light,2018-06-06 04:09:00
rem,2018-06-06 04:37:30
light,2018-06-06 05:19:30
rem,2018-06-06 06:35:00
light,2018-06-06 06:57:00
wake,2018-06-06 07:03:30
light,2018-06-06 07:15:30
wake,2018-06-06 07:22:00
