Stage,Time
wake,2018-04-27 21:43:00
light,2018-04-27 21:53:30
wake,2018-04-27 22:06:00
light,2018-04-27 22:18:00
deep,2018-04-27 22:20:00
rem,2018-04-27 23:19:00
light,2018-04-27 23:24:00
rem,2018-04-28 00:15:30
light,2018-04-28 00:22:30
rem,2018-04-28 01:13:00
wake,2018-04-28 01:19:00
light,2018-04-28 01:26:30
rem,2018-04-28 02:29:00
wake,2018-04-28 02:55:30
light,2018-04-28 03:02:00
wake,2018-04-28 04:19:00
rem,2018-04-28 04:32:30
light,2018-04-28 04:37:30
deep,2018-04-28 05:39:30
light,2018-04-28 05:44:30
wake,2018-04-28 05:51:30
light,2018-04-28 05:55:30
wake,2018-04-28 05:57:30
light,2018-04-28 06:02:00
wake,2018-04-28 06:13:00
