Stage,Time
light,2018-04-19 22:16:30
wake,2018-04-19 23:19:00
light,2018-04-19 23:28:00
deep,2018-04-19 23:50:30
light,2018-04-20 00:02:30
wake,2018-04-20 00:39:00
light,2018-04-20 00:51:00
wake,2018-04-20 00:54:00
light,2018-04-20 01:01:00
rem,2018-04-20 01:04:30
light,2018-04-20 01:36:30
rem,2018-04-20 01:52:00
light,2018-04-20 01:56:30
rem,2018-04-20 02:49:30
light,2018-04-20 02:55:30
rem,2018-04-20 03:23:00
light,2018-04-20 03:33:30
deep,2018-04-20 04:26:00
light,2018-04-20 04:46:00
wake,2018-04-20 05:18:00
light,2018-04-20 05:23:30
rem,2018-04-20 05:25:00
light,2018-04-20 05:31:30
wake,2018-04-20 06:00:00
light,2018-04-20 06:05:00
wake,2018-04-20 06:18:30
light,2018-04-20 06:29:00
rem,2018-04-20 06:31:00
light,2018-04-20 06:35:30
wake,2018-04-20 06:40:00
