Stage,Time
wake,2018-05-13 23:02:30
light,2018-05-13 23:03:00
deep,2018-05-13 23:47:00
light,2018-05-13 23:52:30
rem,2018-05-14 00:02:30
light,2018-05-14 00:17:30
deep,2018-05-14 00:34:00
rem,2018-05-14 01:22:00
light,2018-05-14 01:49:00
deep,2018-05-14 02:05:00
wake,2018-05-14 02:43:30
light,2018-05-14 02:52:00
rem,2018-05-14 03:09:30
light,2018-05-14 03:29:00
rem,2018-05-14 03:39:30
light,2018-05-14 03:53:00
deep,2018-05-14 04:41:30
light,2018-05-14 04:46:00
rem,2018-05-14 05:14:30
wake,2018-05-14 05:34:30
light,2018-05-14 05:41:00
rem,2018-05-14 05:41:30
wake,2018-05-14 06:04:30
light,2018-05-14 06:08:00
wake,2018-05-14 06:54:00
