Stage,Time
wake,2018-05-08 21:11:00
light,2018-05-08 21:15:30
deep,2018-05-08 22:03:00
light,2018-05-08 22:20:00
rem,2018-05-09 00:28:00
light,2018-05-09 00:46:30
rem,2018-05-09 01:54:00
wake,2018-05-09 02:03:00
light,2018-05-09 02:16:00
rem,2018-05-09 02:30:30
light,2018-05-09 02:44:30
rem,2018-05-09 03:01:00
light,2018-05-09 03:06:30
wake,2018-05-09 03:07:00
light,2018-05-09 03:11:30
rem,2018-05-09 04:26:30
light,2018-05-09 04:40:00
rem,2018-05-09 05:55:30
light,2018-05-09 06:19:00
deep,2018-05-09 06:47:30
wake,2018-05-09 07:00:00
