Stage,Time
wake,2018-04-15 21:21:30
light,2018-04-15 21:28:30
rem,2018-04-15 22:28:00
light,2018-04-15 22:37:00
rem,2018-04-15 23:38:00
light,2018-04-15 23:46:00
deep,2018-04-16 00:11:00
wake,2018-04-16 00:39:00
light,2018-04-16 00:46:00
rem,2018-04-16 00:53:30
wake,2018-04-16 00:59:00
light,2018-04-16 01:06:00
rem,2018-04-16 01:21:30
light,2018-04-16 01:42:30
rem,2018-04-16 01:49:30
light,2018-04-16 02:08:30
deep,2018-04-16 02:24:30
light,2018-04-16 03:08:30
wake,2018-04-16 03:29:00
light,2018-04-16 03:34:00
rem,2018-04-16 05:00:30
light,2018-04-16 05:05:00
rem,2018-04-16 05:15:30
wake,2018-04-16 05:22:00
light,2018-04-16 05:29:00
wake,2018-04-16 05:36:00
light,2018-04-16 06:02:30
wake,2018-04-16 06:21:00
