Stage,Time
wake,2018-05-29 23:03:00
light,2018-05-29 23:10:30
deep,2018-05-29 23:40:00
light,2018-05-30 00:16:30
deep,2018-05-30 00:51:00
light,2018-05-30 01:06:30
deep,2018-05-30 01:22:00
light,2018-05-30 01:41:00
rem,2018-05-30 01:44:00
wake,2018-05-30 01:49:00
light,2018-05-30 02:03:00
wake,2018-05-30 02:07:00
light,2018-05-30 02:17:00
deep,2018-05-30 02:50:30
light,2018-05-30 02:55:00
rem,2018-05-30 03:10:00
light,2018-05-30 03:42:30
rem,2018-05-30 05:01:00
light,2018-05-30 05:06:30
wake,2018-05-30 06:12:30
light,2018-05-30 06:16:00
wake,2018-05-30 06:38:00
light,2018-05-30 07:02:00
wake,2018-05-30 07:07:00
light,2018-05-30 07:13:30
deep,2018-05-30 07:46:00
light,2018-05-30 08:04:00
rem,2018-05-30 08:07:00
light,2018-05-30 08:30:30
