Stage,Time
light,2018-05-19 22:01:00
wake,2018-05-19 22:26:30
light,2018-05-19 22:40:30
deep,2018-05-19 23:27:00
light,2018-05-19 23:34:00
rem,2018-05-19 23:48:00
light,2018-05-19 23:54:00
wake,2018-05-19 23:54:30
light,2018-05-19 23:58:30
rem,2018-05-20 00:04:30
light,2018-05-20 00:09:30
deep,2018-05-20 00:40:30
light,2018-05-20 01:01:30
rem,2018-05-20 01:14:30
light,2018-05-20 01:33:00
deep,2018-05-20 01:51:30
light,2018-05-20 02:30:00
rem,2018-05-20 02:51:30
light,2018-05-20 03:07:00
deep,2018-05-20 03:46:30
rem,2018-05-20 04:10:30
light,2018-05-20 04:42:00
wake,2018-05-20 04:45:00
light,2018-05-20 05:01:00
wake,2018-05-20 05:11:30
light,2018-05-20 05:15:00
wake,2018-05-20 05:41:30
light,2018-05-20 05:47:00
deep,2018-05-20 06:23:30
light,2018-05-20 06:28:00
wake,2018-05-20 06:44:00
