Stage,Time
light,2018-04-30 21:18:30
rem,2018-04-30 23:44:30
wake,2018-04-30 23:56:00
light,2018-05-01 00:07:30
deep,2018-05-01 00:51:30
light,2018-05-01 00:57:30
rem,2018-05-01 00:59:00
light,2018-05-01 01:19:00
wake,2018-05-01 01:35:30
light,2018-05-01 01:40:00
deep,2018-05-01 02:12:00
light,2018-05-01 02:17:00
rem,2018-05-01 03:54:30
light,2018-05-01 04:35:00
wake,2018-05-01 05:19:30
light,2018-05-01 05:30:00
rem,2018-05-01 05:31:00
wake,2018-05-01 05:49:30
light,2018-05-01 06:03:00
deep,2018-05-01 06:30:00
light,2018-05-01 06:36:30
deep,2018-05-01 06:37:00
light,2018-05-01 06:41:30
rem,2018-05-01 06:46:00
wake,2018-05-01 06:55:00
