Stage,Time
light,2018-05-16 22:03:00
deep,2018-05-16 22:41:30
light,2018-05-16 23:12:00
deep,2018-05-16 23:46:30
light,2018-05-16 23:52:30
deep,2018-05-17 00:05:30
light,2018-05-17 00:14:30
rem,2018-05-17 00:34:30
wake,2018-05-17 00:43:30
light,2018-05-17 00:47:00
deep,2018-05-17 01:16:00
light,2018-05-17 01:21:00
rem,2018-05-17 02:05:00
light,2018-05-17 02:36:00
wake,2018-05-17 02:45:00
light,2018-05-17 02:49:30
rem,2018-05-17 03:45:30
light,2018-05-17 04:11:30
deep,2018-05-17 04:43:00
light,2018-05-17 05:00:00
wake,2018-05-17 05:05:00
light,2018-05-17 05:20:00
wake,2018-05-17 05:22:30
light,2018-05-17 05:55:00
wake,2018-05-17 06:00:30
light,2018-05-17 06:07:00
wake,2018-05-17 06:55:30
light,2018-05-17 07:07:00
wake,2018-05-17 07:13:00
