Stage,Time
wake,2018-05-22 22:52:30
light,2018-05-22 22:53:00
wake,2018-05-22 22:56:00
light,2018-05-22 23:01:00
wake,2018-05-22 23:35:30
light,2018-05-22 23:41:00
rem,2018-05-23 00:28:00
wake,2018-05-23 00:43:00
light,2018-05-23 00:55:30
deep,2018-05-23 01:28:30
light,2018-05-23 01:33:30
rem,2018-05-23 01:54:00
light,2018-05-23 02:01:00
deep,2018-05-23 02:09:30
light,2018-05-23 02:50:00
rem,2018-05-23 03:23:00
light,2018-05-23 03:42:00
rem,2018-05-23 03:47:30
wake,2018-05-23 03:52:30
light,2018-05-23 03:57:30
rem,2018-05-23 04:01:30
light,2018-05-23 04:15:30
rem,2018-05-23 05:28:30
wake,2018-05-23 05:54:00
light,2018-05-23 05:59:00
rem,2018-05-23 06:04:30
light,2018-05-23 06:10:30
wake,2018-05-23 06:47:00
