Stage,Time
light,2018-04-17 21:57:00
rem,2018-04-17 23:42:30
wake,2018-04-18 00:08:00
light,2018-04-18 00:17:00
deep,2018-04-18 00:32:00
light,2018-04-18 00:47:00
deep,2018-04-18 01:19:00
rem,2018-04-18 01:36:30
wake,2018-04-18 01:53:00
light,2018-04-18 01:59:00
wake,2018-04-18 02:01:00
light,2018-04-18 02:09:00
rem,2018-04-18 03:20:30
wake,2018-04-18 03:26:00
light,2018-04-18 03:30:30
wake,2018-04-18 03:33:00
light,2018-04-18 03:41:00
wake,2018-04-18 03:53:30
light,2018-04-18 04:02:30
rem,2018-04-18 05:15:00
light,2018-04-18 05:20:00
deep,2018-04-18 05:45:30
light,2018-04-18 05:51:00
rem,2018-04-18 06:10:30
light,2018-04-18 06:31:30
wake,2018-04-18 06:32:30
light,2018-04-18 06:40:00
wake,2018-04-18 07:20:30
light,2018-04-18 07:24:00
wake,2018-04-18 07:37:30
