Stage,Time
light,2018-04-20 22:11:30
wake,2018-04-20 22:25:00
light,2018-04-20 22:29:00
rem,2018-04-20 23:52:00
light,2018-04-21 00:07:00
deep,2018-04-21 00:25:30
light,2018-04-21 00:47:00
wake,2018-04-21 00:50:00
light,2018-04-21 00:54:00
wake,2018-04-21 00:56:00
light,2018-04-21 01:05:00
deep,2018-04-21 01:21:00
light,2018-04-21 01:42:00
wake,2018-04-21 01:47:30
light,2018-04-21 02:15:00
deep,2018-04-21 02:59:30
light,2018-04-21 03:05:30
rem,2018-04-21 03:30:30
wake,2018-04-21 03:59:30
light,2018-04-21 04:06:00
rem,2018-04-21 04:10:00
light,2018-04-21 04:14:30
rem,2018-04-21 04:36:00
light,2018-04-21 04:44:00
wake,2018-04-21 05:10:00
light,2018-04-21 05:17:00
wake,2018-04-21 06:14:30
