Stage,Time
light,2018-06-04 22:16:30
wake,2018-06-05 00:44:00
light,2018-06-05 00:53:00
wake,2018-06-05 00:59:00
rem,2018-06-05 01:04:30
wake,2018-06-05 01:13:00
light,2018-06-05 01:22:30
deep,2018-06-05 01:40:30
light,2018-06-05 02:26:30
rem,2018-06-05 02:35:00
light,2018-06-05 02:43:00
rem,2018-06-05 02:49:30
light,2018-06-05 02:58:00
deep,2018-06-05 03:32:30
light,2018-06-05 03:38:00
rem,2018-06-05 04:05:00
light,2018-06-05 04:11:00
wake,2018-06-05 04:24:30
light,2018-06-05 04:36:00
deep,2018-06-05 04:46:00
light,2018-06-05 04:51:00
deep,2018-06-05 05:12:00
rem,2018-06-05 05:16:30
light,2018-06-05 05:45:00
wake,2018-06-05 05:59:30
