Stage,Time
wake,23:19:30
light,23:20:00
wake,23:31:30
light,23:37:00
deep,00:01:00
light,00:06:30
rem,00:37:00
light,00:53:30
deep,01:04:30
light,02:03:00
rem,02:08:00
wake,02:16:30
light,02:23:30
rem,03:05:30
light,03:50:00
deep,04:23:30
light,04:47:00
wake,04:54:00
light,05:10:00
wake,05:21:00
light,05:31:00
rem,05:45:00
light,06:25:30
wake,06:42:30
light,06:56:00
wake,06:59:00
light,07:05:30
wake,07:07:30
