Stage,Time
asleep,2018-05-06 22:33:30
restless,2018-05-06 22:48:30
asleep,2018-05-06 22:49:30
restless,2018-05-07 02:50:30
asleep,2018-05-07 02:51:30
restless,2018-05-07 03:14:30
awake,2018-05-07 03:18:30
restless,2018-05-07 03:23:30
asleep,2018-05-07 03:24:30
restless,2018-05-07 03:35:30
asleep,2018-05-07 03:36:30
restless,2018-05-07 04:04:30
asleep,2018-05-07 04:09:30
restless,2018-05-07 04:11:30
asleep,2018-05-07 04:12:30
restless,2018-05-07 04:13:30
awake,2018-05-07 04:15:30
restless,2018-05-07 04:16:30
asleep,2018-05-07 04:17:30
restless,2018-05-07 07:12:30
