Stage,Time
light,2018-05-21 21:44:30
deep,2018-05-21 22:36:30
rem,2018-05-21 23:15:30
light,2018-05-21 23:31:00
deep,2018-05-21 23:55:00
light,2018-05-21 23:59:30
rem,2018-05-22 00:41:30
light,2018-05-22 01:09:00
wake,2018-05-22 01:18:00
light,2018-05-22 01:23:00
wake,2018-05-22 02:36:00
rem,2018-05-22 02:43:00
wake,2018-05-22 02:47:30
light,2018-05-22 02:54:30
wake,2018-05-22 02:57:30
light,2018-05-22 03:05:00
rem,2018-05-22 03:09:30
light,2018-05-22 03:16:30
rem,2018-05-22 04:24:30
light,2018-05-22 04:35:30
wake,2018-05-22 04:56:00
light,2018-05-22 05:21:00
wake,2018-05-22 05:25:00
light,2018-05-22 05:31:00
wake,2018-05-22 05:54:30
light,2018-05-22 05:59:00
wake,2018-05-22 06:03:00
