Stage,Time
light,2018-04-28 21:36:30
wake,2018-04-28 21:43:00
light,2018-04-28 21:52:00
rem,2018-04-28 23:44:00
light,2018-04-29 00:02:30
rem,2018-04-29 02:14:00
wake,2018-04-29 02:18:30
light,2018-04-29 02:26:00
wake,2018-04-29 02:29:00
light,2018-04-29 02:46:00
deep,2018-04-29 03:04:00
light,2018-04-29 03:49:00
rem,2018-04-29 03:51:00
light,2018-04-29 04:15:00
rem,2018-04-29 04:24:30
wake,2018-04-29 04:29:00
light,2018-04-29 04:40:00
deep,2018-04-29 04:59:00
light,2018-04-29 05:04:30
deep,2018-04-29 05:11:30
light,2018-04-29 05:35:00
wake,2018-04-29 05:39:30
light,2018-04-29 05:45:00
deep,2018-04-29 06:16:30
light,2018-04-29 06:23:30
wake,2018-04-29 06:28:30
rem,2018-04-29 06:34:00
light,2018-04-29 06:40:30
