Stage,Time
wake,21:43:00
light,21:53:30
wake,22:06:00
light,22:18:00
deep,22:20:00
rem,23:19:00
light,23:24:00
rem,00:15:30
light,00:22:30
rem,01:13:00
wake,01:19:00
light,01:26:30
rem,02:29:00
wake,02:55:30
light,03:02:00
wake,04:19:00
rem,04:32:30
light,04:37:30
deep,05:39:30
light,05:44:30
wake,05:51:30
light,05:55:30
wake,05:57:30
light,06:02:00
wake,06:13:00
