Stage,Time
restless,21:13:30
asleep,21:14:30
restless,00:02:30
asleep,00:03:30
restless,00:08:30
asleep,00:09:30
restless,01:11:30
asleep,01:12:30
restless,01:43:30
asleep,01:49:30
restless,02:33:30
asleep,02:34:30
restless,03:18:30
asleep,03:19:30
restless,03:25:30
asleep,03:26:30
restless,04:03:30
asleep,04:04:30
restless,05:17:30
asleep,05:18:30
restless,05:50:30
awake,05:54:30
restless,05:56:30
asleep,05:58:30
restless,06:03:30
asleep,06:04:30
restless,06:14:30
asleep,06:15:30
restless,06:51:30
asleep,06:54:30
restless,06:55:30
asleep,06:58:30
