Stage,Time
light,22:47:30
rem,00:59:00
light,01:05:00
rem,01:33:00
light,01:38:00
deep,02:03:30
light,02:42:00
rem,02:43:00
wake,02:49:00
light,03:04:00
wake,03:13:30
light,03:19:00
wake,03:35:30
light,03:46:00
wake,03:58:00
light,04:05:00
rem,04:10:00
light,04:18:30
rem,05:27:00
light,05:52:30
wake,06:17:30
light,06:21:30
deep,06:24:00
