Stage,Time
light,21:13:00
rem,22:43:30
light,23:02:00
deep,23:27:00
wake,23:56:30
light,00:01:00
wake,00:08:00
rem,00:13:30
wake,00:18:00
light,00:33:00
deep,00:44:00
light,01:08:00
rem,01:28:30
light,01:48:00
rem,01:53:30
light,02:37:00
wake,04:04:00
light,04:11:00
wake,04:14:00
light,04:17:30
rem,04:24:30
light,04:31:00
rem,05:37:00
light,05:52:00
wake,07:00:00
