Time,Heart Rate
00:00:08,62
00:00:11,64
00:00:13,63
00:00:16,65
00:00:18,61
00:00:28,62
00:00:31,65
00:00:43,62
00:00:48,63
00:00:58,62
00:01:07,65
00:01:13,62
00:01:17,73
00:01:18,64
00:01:22,95
00:01:23,65
00:01:27,96
00:01:37,96
00:01:38,65
00:01:52,96
00:01:53,65
00:02:07,95
00:02:08,66
00:02:12,94
00:02:13,67
00:02:27,94
00:02:28,67
00:02:38,66
00:02:42,94
00:02:52,95
00:02:53,66
00:02:58,68
00:03:03,69
00:03:07,96
00:03:08,70
00:03:13,70
00:03:22,96
00:03:28,70
00:03:37,96
00:03:43,70
00:03:48,70
00:03:52,96
00:03:53,69
00:03:58,69
00:04:03,69
00:04:07,96
00:04:08,71
00:04:13,74
00:04:18,77
00:04:22,96
00:04:23,79
00:04:28,78
00:04:37,96
00:04:43,78
00:04:52,96
00:04:53,77
00:04:58,75
00:05:03,71
00:05:07,96
00:05:08,70
00:05:13,69
00:05:22,96
00:05:23,68
00:05:28,64
00:05:33,65
00:05:37,96
00:05:38,66
00:05:43,67
00:05:48,65
00:05:52,96
00:05:53,63
00:05:57,96
00:05:58,61
00:06:03,60
00:06:09,60
00:06:12,95
00:06:14,60
00:06:27,95
00:06:29,60
00:06:39,60
00:06:42,95
00:06:49,61
00:06:57,95
00:07:04,61
00:07:12,95
00:07:19,63
00:07:24,65
00:07:27,95
00:07:29,66
00:07:42,95
00:07:44,66
00:07:49,68
00:07:54,69
00:07:57,95
00:07:59,68
00:08:12,95
00:08:14,68
00:08:24,69
00:08:27,95
00:08:37,93
00:08:39,69
00:08:42,92
00:08:52,91
00:08:54,69
00:08:57,90
00:09:02,91
00:09:07,90
00:09:09,69
00:09:17,91
00:09:22,90
00:09:24,69
00:09:37,89
00:09:39,69
00:09:47,88
00:09:49,69
00:10:02,88
00:10:04,69
00:10:12,89
00:10:19,69
00:10:24,70
00:10:27,88
00:10:29,71
00:10:35,68
00:10:40,68
00:10:42,89
00:10:45,67
00:10:57,89
00:11:00,67
00:11:10,66
00:11:12,89
00:11:17,89
00:11:20,67
00:11:27,88
00:11:35,67
00:11:37,89
00:11:45,66
00:11:47,90
00:12:00,68
00:12:02,90
00:12:05,68
00:12:17,90
00:12:20,68
00:12:22,93
00:12:27,94
00:12:35,68
00:12:37,93
00:12:45,69
00:12:47,92
00:12:50,68
00:12:52,93
00:12:57,92
00:13:00,67
00:13:02,92
00:13:05,65
00:13:07,92
00:13:10,63
00:13:12,92
00:13:15,61
00:13:17,90
00:13:20,60
00:13:22,89
00:13:25,59
00:13:32,90
00:13:37,91
00:13:40,57
00:13:42,92
00:13:47,91
00:13:50,56
00:13:52,90
00:13:57,89
00:14:00,57
00:14:02,88
00:14:05,62
00:14:07,87
00:14:10,64
00:14:12,81
00:14:17,75
00:14:20,65
00:14:22,70
00:14:27,63
00:14:32,57
00:14:35,65
00:14:37,58
00:14:40,64
00:14:45,65
00:14:52,58
00:15:00,65
00:15:05,65
00:15:07,58
00:15:20,65
00:15:22,58
00:15:25,64
00:15:37,57
00:15:40,64
00:15:52,58
00:15:55,64
00:15:57,58
00:16:00,64
00:16:02,58
00:16:15,64
00:16:17,58
00:16:22,57
00:16:30,64
00:16:37,57
00:16:45,64
00:16:52,57
00:17:00,63
00:17:02,56
00:17:10,63
00:17:17,56
00:17:25,63
00:17:30,64
00:17:32,57
00:17:40,64
00:17:45,64
00:17:47,57
00:17:50,65
00:17:55,65
00:18:00,64
00:18:02,57
00:18:05,63
00:18:10,64
00:18:15,63
00:18:17,57
00:18:20,62
00:18:22,58
00:18:25,60
00:18:30,59
00:18:35,58
00:18:37,58
00:18:45,59
00:18:52,58
00:18:55,58
00:19:00,56
00:19:05,55
00:19:07,58
00:19:10,56
00:19:12,58
00:19:19,58
00:19:20,57
00:19:25,58
00:19:34,58
00:19:40,58
00:19:49,58
00:19:55,58
00:19:59,57
00:20:04,58
00:20:09,59
00:20:10,58
00:20:14,58
00:20:19,57
00:20:24,56
00:20:25,59
00:20:30,58
00:20:39,57
00:20:40,59
00:20:44,56
00:20:45,57
00:20:49,57
00:20:54,58
00:20:55,58
00:21:00,59
00:21:09,58
00:21:10,60
00:21:14,57
00:21:15,62
00:21:25,62
00:21:29,57
00:21:30,61
00:21:34,58
00:21:45,61
00:21:49,59
00:21:50,59
00:22:04,58
00:22:05,59
00:22:09,57
00:22:14,56
00:22:19,57
00:22:21,60
00:22:24,56
00:22:26,60
00:22:29,57
00:22:34,58
00:22:41,60
00:22:49,58
00:22:56,60
00:22:59,59
00:23:04,59
00:23:09,58
00:23:11,60
00:23:24,58
00:23:26,60
00:23:29,59
00:23:31,62
00:23:34,59
00:23:36,60
00:23:41,58
00:23:44,58
00:23:51,56
00:23:59,58
00:24:06,56
00:24:11,57
00:24:14,58
00:24:26,57
00:24:29,58
00:24:36,55
00:24:44,59
00:24:49,58
00:24:51,55
00:25:04,58
00:25:06,54
00:25:09,59
00:25:11,55
00:25:21,54
00:25:24,58
00:25:26,55
00:25:29,57
00:25:31,54
00:25:39,58
00:25:46,54
00:25:49,59
00:25:51,55
00:25:59,58
00:26:01,54
00:26:11,56
00:26:14,58
00:26:21,55
00:26:29,58
00:26:31,54
00:26:41,54
00:26:44,58
00:26:46,54
00:26:49,59
00:26:51,55
00:26:56,56
00:27:04,58
00:27:09,59
00:27:11,56
00:27:14,59
00:27:19,58
00:27:26,56
00:27:29,57
00:27:34,55
00:27:39,56
00:27:41,55
00:27:44,57
00:27:49,56
00:27:56,55
00:28:04,56
00:28:11,55
00:28:14,57
00:28:26,55
00:28:29,57
00:28:31,56
00:28:36,55
00:28:41,57
00:28:44,57
00:28:56,56
00:28:59,57
00:29:01,55
00:29:06,56
00:29:11,55
00:29:14,57
00:29:16,54
00:29:21,54
00:29:29,57
00:29:31,56
00:29:34,56
00:29:36,55
00:29:39,55
00:29:46,54
00:29:49,56
00:30:01,54
00:30:04,56
00:30:11,54
00:30:14,57
00:30:16,55
00:30:19,58
00:30:26,54
00:30:31,54
00:30:34,58
00:30:46,54
00:30:49,58
00:30:51,54
00:30:56,54
00:31:04,58
00:31:11,54
00:31:14,60
00:31:19,60
00:31:24,59
00:31:26,56
00:31:34,60
00:31:39,60
00:31:41,56
00:31:54,60
00:31:56,56
00:32:09,60
00:32:11,57
00:32:14,61
00:32:19,60
00:32:26,55
00:32:29,57
00:32:34,56
00:32:36,54
00:32:46,53
00:32:49,56
00:32:51,54
00:32:54,57
00:33:06,54
00:33:09,56
00:33:14,57
00:33:21,54
00:33:29,57
00:33:36,54
00:33:39,56
00:33:44,57
00:33:51,55
00:33:54,56
00:33:56,56
00:34:06,55
00:34:09,56
00:34:11,54
00:34:16,53
00:34:24,57
00:34:26,54
00:34:39,57
00:34:41,53
00:34:54,58
00:34:56,53
00:35:01,55
00:35:06,54
00:35:09,59
00:35:21,54
00:35:24,59
00:35:27,54
00:35:32,53
00:35:39,60
00:35:44,59
00:35:47,53
00:35:49,56
00:35:54,56
00:36:02,54
00:36:04,56
00:36:17,54
00:36:19,57
00:36:22,55
00:36:24,58
00:36:32,54
00:36:37,53
00:36:39,58
00:36:42,51
00:36:54,58
00:36:57,52
00:36:59,57
00:37:02,53
00:37:09,58
00:37:17,53
00:37:19,57
00:37:24,56
00:37:27,54
00:37:29,56
00:37:34,57
00:37:42,54
00:37:49,59
00:37:57,54
00:37:59,58
00:38:12,54
00:38:14,58
00:38:27,54
00:38:29,58
00:38:37,56
00:38:42,57
00:38:44,58
00:38:49,58
00:38:54,57
00:38:57,58
00:39:04,58
00:39:07,56
00:39:09,59
00:39:12,54
00:39:17,55
00:39:19,59
00:39:24,58
00:39:27,54
00:39:29,57
00:39:34,58
00:39:39,57
00:39:42,54
00:39:54,57
00:39:57,53
00:39:59,57
00:40:02,54
00:40:04,58
00:40:07,54
00:40:12,53
00:40:14,59
00:40:17,54
00:40:19,59
00:40:22,53
00:40:24,58
00:40:27,54
00:40:29,58
00:40:34,59
00:40:39,60
00:40:42,54
00:40:44,59
00:40:49,57
00:40:54,56
00:40:57,56
00:40:59,57
00:41:04,57
00:41:07,55
00:41:14,58
00:41:19,58
00:41:22,56
00:41:24,58
00:41:27,54
00:41:29,58
00:41:32,53
00:41:34,58
00:41:39,57
00:41:42,57
00:41:47,59
00:41:49,58
00:41:54,59
00:41:57,58
00:41:59,60
00:42:09,57
00:42:12,58
00:42:14,56
00:42:17,57
00:42:22,58
00:42:24,57
00:42:29,56
00:42:34,57
00:42:37,58
00:42:47,58
00:42:49,57
00:42:54,57
00:42:59,57
00:43:02,58
00:43:12,58
00:43:14,57
00:43:27,58
00:43:29,57
00:43:30,57
00:43:42,59
00:43:45,57
00:43:47,59
00:43:52,61
00:43:58,61
00:44:00,57
00:44:03,60
00:44:08,56
00:44:13,55
00:44:15,57
00:44:18,57
00:44:28,56
00:44:30,57
00:44:33,59
00:44:38,64
00:44:43,61
00:44:45,57
00:44:48,60
00:44:53,59
00:44:58,57
00:45:00,57
00:45:08,58
00:45:13,57
00:45:15,57
00:45:18,55
00:45:20,57
00:45:28,56
00:45:33,57
00:45:35,58
00:45:43,56
00:45:48,55
00:45:50,58
00:45:58,55
00:46:00,58
00:46:03,57
00:46:08,56
00:46:10,58
00:46:13,55
00:46:20,58
00:46:28,56
00:46:35,59
00:46:38,55
00:46:43,55
00:46:48,57
00:46:50,59
00:46:53,58
00:47:05,59
00:47:08,58
00:47:10,58
00:47:15,57
00:47:20,57
00:47:23,58
00:47:25,58
00:47:28,56
00:47:33,57
00:47:38,58
00:47:40,58
00:47:48,57
00:47:55,58
00:48:00,58
00:48:03,57
00:48:08,59
00:48:10,60
00:48:13,58
00:48:15,60
00:48:18,57
00:48:20,60
00:48:25,60
00:48:28,58
00:48:30,61
00:48:43,58
00:48:45,60
00:48:58,58
00:49:00,60
00:49:03,59
00:49:13,59
00:49:15,60
00:49:28,59
00:49:30,61
00:49:35,60
00:49:38,59
00:49:40,61
00:49:48,59
00:49:53,60
00:49:55,61
00:49:58,61
00:50:08,61
00:50:10,61
00:50:18,60
00:50:20,62
00:50:33,60
00:50:35,64
00:50:40,64
00:50:43,59
00:50:45,65
00:50:48,58
00:50:54,58
00:50:59,60
00:51:00,65
00:51:04,59
00:51:05,65
00:51:10,65
00:51:19,59
00:51:24,58
00:51:25,66
00:51:39,58
00:51:40,66
00:51:54,58
00:51:55,66
00:52:05,69
00:52:09,58
00:52:10,69
00:52:19,57
00:52:24,59
00:52:25,69
00:52:39,60
00:52:40,69
00:52:45,69
00:52:54,63
00:52:55,67
00:52:59,66
00:53:00,64
00:53:04,67
00:53:05,56
00:53:10,58
00:53:14,66
00:53:15,59
00:53:20,58
00:53:24,65
00:53:25,60
00:53:30,61
00:53:34,62
00:53:35,60
00:53:40,59
00:53:45,58
00:53:49,62
00:53:50,59
00:53:55,60
00:54:04,63
00:54:05,61
00:54:19,64
00:54:20,61
00:54:25,60
00:54:29,59
00:54:30,59
00:54:34,61
00:54:35,60
00:54:39,62
00:54:40,58
00:54:44,63
00:54:45,58
00:54:50,59
00:54:54,64
00:54:55,57
00:54:59,65
00:55:04,67
00:55:09,67
00:55:10,57
00:55:14,73
00:55:15,56
00:55:19,74
00:55:20,57
00:55:25,59
00:55:30,60
00:55:34,74
00:55:35,59
00:55:40,60
00:55:44,73
00:55:45,61
00:55:49,73
00:55:54,72
00:55:55,61
00:56:00,62
00:56:04,71
00:56:05,61
00:56:09,70
00:56:10,60
00:56:14,68
00:56:15,61
00:56:24,67
00:56:25,62
00:56:30,61
00:56:34,66
00:56:35,60
00:56:39,65
00:56:40,60
00:56:45,60
00:56:49,64
00:56:50,59
00:56:54,63
00:56:55,60
00:56:59,56
00:57:00,61
00:57:04,57
00:57:05,59
00:57:10,60
00:57:19,56
00:57:25,60
00:57:29,62
00:57:30,60
00:57:34,64
00:57:35,60
00:57:40,62
00:57:44,63
00:57:45,61
00:57:50,60
00:57:55,59
00:57:59,62
00:58:00,59
00:58:04,59
00:58:05,61
00:58:10,62
00:58:14,60
00:58:15,59
00:58:20,58
00:58:24,61
00:58:29,62
00:58:30,58
00:58:34,63
00:58:39,63
00:58:40,57
00:58:44,61
00:58:45,57
00:58:49,62
00:58:50,58
00:58:55,59
00:58:59,61
00:59:00,60
