Time,Heart Rate
00:00:00,50
00:00:15,51
00:00:20,49
00:00:25,48
00:00:35,49
00:00:45,49
00:00:50,50
00:00:55,50
00:01:00,49
00:01:05,50
00:01:10,50
00:01:20,49
00:01:30,47
00:01:40,48
00:01:45,50
00:01:50,51
00:02:00,50
00:02:10,50
00:02:20,49
00:02:25,47
00:02:35,49
00:02:40,50
00:02:45,50
00:03:00,50
00:03:05,49
00:03:10,48
00:03:15,49
00:03:25,48
00:03:35,49
00:03:40,50
00:03:55,50
00:04:00,50
00:04:05,49
00:04:10,48
00:04:15,49
00:04:30,50
00:04:35,51
00:04:40,50
00:04:45,48
00:04:50,48
00:05:00,49
00:05:05,51
00:05:10,50
00:05:20,49
00:05:35,51
00:05:40,49
00:05:45,48
00:05:50,47
00:05:55,48
00:06:00,48
00:06:15,49
00:06:20,50
00:06:25,49
00:06:30,50
00:06:35,49
00:06:40,50
00:06:45,51
00:06:50,50
00:07:05,49
00:07:10,50
00:07:25,50
00:07:30,49
00:07:35,48
00:07:40,49
00:07:50,50
00:08:05,49
00:08:10,48
00:08:25,48
00:08:40,48
00:08:45,50
00:09:00,50
00:09:15,49
00:09:20,48
00:09:25,49
00:09:35,48
00:09:40,49
00:09:45,50
00:10:00,50
00:10:05,51
00:10:20,51
00:10:30,50
00:10:45,50
00:10:55,50
00:11:00,50
00:11:15,50
00:11:20,52
00:11:30,53
00:11:40,54
00:11:45,53
00:11:50,52
00:12:05,52
00:12:10,48
00:12:20,49
00:12:25,50
00:12:40,50
00:12:45,50
00:12:50,51
00:13:00,50
00:13:05,49
00:13:10,47
00:13:16,48
00:13:21,49
00:13:26,50
00:13:31,51
00:13:36,50
00:13:41,49
00:13:51,50
00:14:01,51
00:14:06,52
00:14:11,50
00:14:16,49
00:14:21,51
00:14:26,52
00:14:31,53
00:14:36,53
00:14:51,54
00:15:01,52
00:15:06,51
00:15:11,49
00:15:16,51
00:15:21,52
00:15:36,53
00:15:41,64
00:15:46,68
00:15:51,67
00:15:56,65
00:16:01,62
00:16:06,59
00:16:11,55
00:16:16,53
00:16:21,50
00:16:26,51
00:16:36,52
00:16:41,51
00:16:46,50
00:16:51,51
00:16:56,53
00:17:06,52
00:17:21,52
00:17:31,55
00:17:36,52
00:17:41,50
00:17:46,52
00:17:56,53
00:18:01,56
00:18:06,56
00:18:11,51
00:18:16,50
00:18:21,54
00:18:26,54
00:18:31,50
00:18:41,52
00:18:46,53
