Time,Heart Rate
00:00:01,51
00:00:11,52
00:00:16,51
00:00:21,49
00:00:26,48
00:00:31,49
00:00:36,50
00:00:41,51
00:00:46,52
00:00:51,50
00:00:56,49
00:01:01,50
00:01:06,51
00:01:11,52
00:01:16,52
00:01:21,51
00:01:26,52
00:01:31,53
00:01:36,51
00:01:41,50
00:01:51,51
00:02:01,53
00:02:11,52
00:02:26,52
00:02:41,52
00:02:56,51
00:03:01,52
00:03:11,51
00:03:21,53
00:03:36,54
00:03:51,54
00:04:01,51
00:04:16,51
00:04:21,50
00:04:31,51
00:04:36,58
00:04:41,57
00:04:46,56
00:04:51,55
00:04:56,53
00:05:01,52
00:05:06,52
00:05:11,50
00:05:16,51
00:05:21,52
00:05:26,50
00:05:36,52
00:05:41,49
00:05:46,48
00:06:01,48
00:06:06,49
00:06:11,51
00:06:16,53
00:06:21,52
00:06:26,51
00:06:31,52
00:06:36,52
00:06:41,50
00:06:46,47
00:06:56,48
00:07:01,49
00:07:06,51
00:07:11,50
00:07:16,50
00:07:26,48
00:07:36,49
00:07:41,49
00:07:56,49
00:08:01,49
00:08:11,49
00:08:21,48
00:08:26,46
00:08:31,47
00:08:36,49
00:08:41,50
00:08:56,50
00:09:01,51
00:09:06,50
00:09:21,50
00:09:36,51
00:09:41,52
00:09:46,51
00:09:56,50
00:10:11,49
00:10:26,50
00:10:36,49
00:10:46,48
00:10:56,49
00:11:01,48
00:11:06,49
00:11:11,51
00:11:21,50
00:11:26,51
00:11:31,50
00:11:41,49
00:11:46,49
00:12:01,50
00:12:06,51
00:12:11,50
00:12:21,49
00:12:26,47
00:12:36,48
00:12:41,50
00:12:56,51
00:13:01,52
00:13:06,51
00:13:11,49
00:13:16,49
00:13:31,49
00:13:46,49
00:13:51,48
00:14:01,49
00:14:11,50
00:14:21,49
00:14:31,50
00:14:41,49
00:14:51,50
00:15:01,49
00:15:06,48
00:15:11,47
00:15:16,48
00:15:21,49
00:15:27,50
00:15:37,51
00:15:47,50
00:15:52,48
00:16:02,49
00:16:12,50
00:16:17,49
00:16:32,49
00:16:37,48
00:16:42,47
00:16:47,48
00:16:52,49
00:17:02,48
00:17:07,47
00:17:17,49
00:17:22,48
00:17:37,48
00:17:42,50
00:17:47,49
00:18:02,49
00:18:12,50
00:18:17,49
00:18:22,48
00:18:27,49
00:18:32,48
00:18:42,49
00:18:48,49
00:19:03,48
00:19:18,49
00:19:28,48
00:19:33,49
00:19:48,49
00:20:03,49
00:20:08,48
00:20:18,49
00:20:33,48
00:20:38,47
00:20:53,49
00:20:58,50
00:21:03,49
00:21:18,49
00:21:33,49
00:21:48,49
00:22:03,49
00:22:08,50
00:22:18,51
00:22:28,50
00:22:43,50
00:22:58,50
00:23:13,51
00:23:23,50
00:23:28,48
00:23:33,47
00:23:38,48
00:23:43,49
00:23:48,50
00:24:03,48
00:24:13,49
00:24:18,50
00:24:23,49
00:24:33,50
00:24:48,51
00:24:53,50
00:24:58,49
00:25:08,50
00:25:18,51
00:25:33,50
00:25:38,49
00:25:53,49
00:25:58,50
00:26:03,51
00:26:08,50
00:26:23,51
00:26:38,51
00:26:53,51
00:27:08,50
00:27:23,50
00:27:33,49
00:27:48,49
00:27:53,50
00:27:58,50
00:28:03,51
00:28:08,53
00:28:13,51
00:28:18,49
00:28:28,50
00:28:33,51
00:28:43,50
00:28:48,49
00:28:58,50
00:29:03,49
00:29:18,50
00:29:33,49
00:29:38,50
00:29:53,50
00:30:08,50
00:30:13,51
00:30:18,50
00:30:23,48
00:30:33,51
00:30:43,50
00:30:58,50
00:31:03,52
00:31:08,50
00:31:13,48
00:31:23,49
00:31:29,49
00:31:44,50
00:31:54,51
00:32:09,50
00:32:14,51
00:32:24,49
00:32:29,50
00:32:44,49
00:32:59,50
00:33:14,50
00:33:29,50
00:33:34,48
00:33:44,49
00:33:59,50
00:34:04,51
00:34:09,50
00:34:14,50
00:34:24,49
00:34:29,48
00:34:34,49
00:34:44,50
00:34:54,51
00:34:59,51
00:35:04,50
00:35:09,50
00:35:14,50
00:35:19,49
00:35:24,48
00:35:34,49
