Time,Heart Rate
00:00:00,79
00:00:03,79
00:00:06,79
00:00:09,79
00:00:12,79
00:00:15,79
00:00:18,79
00:00:21,79
00:00:24,79
00:00:27,79
00:00:30,79
00:00:33,79
00:00:36,79
00:00:39,79
00:00:42,79
00:00:45,79
00:00:46,79
00:00:49,79
00:00:52,79
00:00:55,79
00:00:56,78
00:00:59,78
00:01:01,79
00:01:02,79
00:01:04,79
00:01:07,79
00:01:10,79
00:01:13,79
00:01:16,79
00:01:19,79
00:01:22,79
00:01:25,79
00:01:28,79
00:01:29,75
00:01:30,75
00:01:32,74
00:01:35,73
00:01:37,72
00:01:39,65
00:01:40,65
00:01:41,64
00:01:43,63
00:01:45,60
00:01:46,59
00:01:47,58
00:01:50,58
00:01:53,57
00:01:56,57
00:01:58,57
00:02:01,57
00:02:04,57
00:02:07,57
00:02:10,57
00:02:13,57
00:02:14,58
00:02:15,58
00:02:18,58
00:02:20,57
00:02:22,56
00:02:25,56
00:02:28,56
00:02:31,56
00:02:34,56
00:02:35,55
00:02:36,55
00:02:37,55
00:02:40,55
00:02:43,55
00:02:46,55
00:02:49,55
00:02:50,55
00:02:53,55
00:02:54,56
00:02:55,55
00:02:58,55
00:03:00,55
00:03:02,54
00:03:04,54
00:03:07,54
00:03:08,54
00:03:11,54
00:03:12,54
00:03:15,54
00:03:16,54
00:03:19,54
00:03:20,53
00:03:23,53
00:03:26,54
00:03:29,54
00:03:30,55
00:03:31,54
00:03:33,54
00:03:36,54
00:03:37,54
00:03:40,54
00:03:43,54
00:03:46,54
00:03:47,54
00:03:49,54
00:03:51,54
00:03:53,53
00:03:56,53
00:03:58,53
00:04:00,52
00:04:03,52
00:04:06,53
00:04:07,54
00:04:10,54
00:04:12,53
00:04:15,53
00:04:16,53
00:04:19,53
00:04:22,53
00:04:25,54
00:04:28,54
00:04:29,54
00:04:30,54
00:04:33,54
00:04:35,54
00:04:38,54
00:04:40,54
00:04:43,54
00:04:44,53
00:04:47,53
00:04:48,54
00:04:51,54
00:04:52,53
00:04:53,53
00:04:54,54
00:04:56,54
00:04:59,53
00:05:00,53
00:05:03,53
00:05:04,53
00:05:07,53
00:05:09,53
00:05:11,53
00:05:14,53
00:05:16,53
00:05:18,53
00:05:21,53
00:05:23,52
00:05:26,52
00:05:29,52
00:05:30,53
00:05:31,54
00:05:33,55
00:05:36,55
00:05:37,54
00:05:38,54
00:05:39,54
00:05:40,54
00:05:43,54
00:05:45,53
00:05:48,53
00:05:51,53
00:05:53,52
00:05:55,51
00:05:56,50
00:05:57,49
00:06:00,49
00:06:03,49
00:06:06,49
00:06:09,50
00:06:11,51
00:06:14,51
00:06:16,52
00:06:19,52
00:06:20,51
00:06:21,50
00:06:24,50
00:06:27,50
00:06:30,51
00:06:32,50
00:06:34,51
00:06:37,52
00:06:38,51
00:06:40,50
00:06:41,50
00:06:44,50
00:06:45,51
00:06:48,51
00:06:51,51
00:06:54,51
00:06:55,52
00:06:57,51
00:07:00,52
00:07:03,52
00:07:04,51
00:07:07,51
00:07:10,51
00:07:11,52
00:07:14,52
00:07:15,51
00:07:18,51
00:07:20,52
00:07:23,51
00:07:25,50
00:07:27,51
00:07:30,51
00:07:33,51
00:07:36,51
00:07:39,51
00:07:40,50
00:07:42,51
00:07:43,51
00:07:44,52
00:07:46,51
00:07:47,50
00:07:50,50
00:07:53,50
00:07:56,50
00:07:59,50
00:08:02,50
00:08:03,51
00:08:05,52
00:08:07,51
00:08:09,50
00:08:12,50
00:08:15,50
00:08:17,51
00:08:20,51
00:08:21,52
00:08:24,52
